text,label,sentiment
swipe geo print asymmetric jumper color brown price n dm to order whatsapp shakarashop online shop wen sabi you sef go dey do shakara warri,0,negative
i love passing fowler amp songs that remind me of scott come on my ipod shuffle,0,negative
can't sleeep sicksicksick maybe i should get back up,0,negative
hate when my premonition tells me things and i dont do it immediately now whole breakfast has casted all over the floor who has cleaning company please no be more go do this wahala wit all these oil please who has breakfast let me visit them abeg while they are cleaning,2,positive
i dont even know where to start from koz my parent love that show like and nah night them dey watch am so sometimes i used to be like why cant they show this thing at morning i dont even know how to express my selffeelings towards this show abeg i just dey type shit,0,negative
na d danfo na who dey lead,1,neutral
watching twisterhad an awesome evening i never realized how much i missed bailey doss,2,positive
as i dey like this na like say make i just dey drive go elegushi straight just dey till like,0,negative
i know say no dey carry last in signing good artist omo this good o am still listening since morning don pls send me money now make i use flex i know go vex i understand ayra talk am,2,positive
well this is lots of fun what a great start to the week attempting to crawl back into bed,0,negative
backk formt he gym shopping the shopping part was boring sorry,0,negative
aus survived a recession does this mean more money hand outs from mr rudd,0,negative
driving lesson at 6 though so i cant venture too far,0,negative
you can do it de my chan,2,positive
huhu yeah i know n u have to help me,0,negative
watch out coming soon on channel 99 courtesy of btw how about questions from knesset,2,positive
as a chelsea fan i no want make my former papa dey suffer wetin him dey suffer now it too much i want am to win games,0,negative
we dey suffer we dey smile we dey fear to talk,2,positive
if person na arsenal fan abeg e dey cause mental disorder,2,positive
my latest rk fanvid impatiently waiting for tmrw,2,positive
fun as long as you're not sitting next to a bunch of fans presuming you're a bruins fan of course,2,positive
someone please drive me down to a farm let me feed pigs and ride horses anyone know a farmerwho will let me ambition for life now lt3,0,negative
all dis fine fine girls wey una dey use for header sha mek i kuku get one too,0,negative
i am loving china glaze does anyone have any suggestions on nice colours,2,positive
oh wow i has a stalker that's new,2,positive
had a very good night,2,positive
i keep wishing but nothing happens,0,negative
and re journey i know love the song love the recognition for a fun song but it's starting to get old,0,negative
i get extra hols in my entitlement but it gets boring turkey balls sound good gobble gobble lol,0,negative
haha i'm watching take that at the o2 oh i miss it,0,negative
i'm waiting for you to come home to me,2,positive
damn serious i've been on my reception girls for 2 months about that package emailed the itssokrucialtv address,0,negative
feels like crap bring on the winter colds,0,negative
where have the lovely ladies of been lately,0,negative
i dey oka for my cousin place but i dey come back now,1,neutral
dude you shouldn't be tweeting while playing hopscotch,2,positive
same was going to try warm milk but i'm lactose intolerant haha,0,negative
clearly the child was raised with good partying genetics and grew into a proficient adult,2,positive
just got home from school bunch of homeworks again,0,negative
me sef na human being,1,neutral
e get any player wey u no sabi sha u dey try abeg,0,negative
on top this valetine na so my guy propose yesterday ooo love is sweet which way now i dey propose next week ooo i don leave una geng,0,negative
well maybe next time my dreams with come true,0,negative
spanish ib tomorrow hardcore study time,0,negative
na wa oh all of dem na marijuana igbo,2,positive
it feels good to read a book again even when u've read that book about 10 times its still good,2,positive
wow it sucks,0,negative
don't worry you'll be seeing rob nekkid in 2 days,2,positive
he din text me he din call me and he forget about me,0,negative
just dislocated my shoulder but i'm dropped off medical insurance so i gotta suffer,0,negative
the film makes sense die the action na selense them just dey shoot people dey jump building the fight ehhh chai e too sweet e get some people dem no dey die and them dey helep people but one man con betray them sha but the new recruit wey no dey die con save the others,0,negative
hopefully they are just followers rather than stalkers,2,positive
and as an output currently you can only export screenshots of a page or all pages i'm working on something better,2,positive
person no fit just dial wrong number make or pick must it be from tashan dukku,2,positive
good morningmidday nation formula one in one hour,2,positive
damnn that sucks i ordered it and im getting it tomorrow i thought i would be great,0,negative
ohh which team be that abeg i just dey enjoy una match bro,0,negative
my screen don break,2,positive
i hate it when i say something meaningful and pesin comment rubbish me no better thing dey to chop for this kitchen pesin chop bread bread na better thing iffah reason you,2,positive
oh wow we sef just dey finish and mandem still wan go beer barn i no fit abeg,2,positive
follow them two 1 has a fake that has more followers lol and the other is my best friend,2,positive
waiting for a lecture to start,0,negative
not sure i tried the power home button trick and it worked it's on again now i hope it doesn't happen again,0,negative
ugh give me a shout out that'll make it better xoxo lena,2,positive
god damn why does my knee hurt,0,negative
waiting for some customers to come make me some money i don't see it happening thoughanother dead sat night in the swansea mall,0,negative
misses everyone from my school since the last day of quotschoolquot at golden gate park,0,negative
she dey ask you like say she fit buy am for you,1,neutral
i looooove it when people are total cr33p3rs and stalk me,2,positive
bus is late don't tell me i have to drive today,0,negative
1002am morning dawlings i hope everyone has a good day those of you going to church send a little prayer my way,2,positive
the earpiece that i bought k on sunday don dey make one kind stupid funny sound today and emeka told the earpiece na original one na my god go judge emeka,2,positive
you sure abi e dey watch him weight,1,neutral
i don't know how to celebrate yet lol but i'm very excited about it,2,positive
pot how are you doing in astro scenario pisces moon transit my 10th house spaced out and making a spectacle of myself there,2,positive
waaaaahh i wanna go on msn to talk to someone but i cant cuz they dnt have it installed,0,negative
shurrup abeg rt no be say i fine sef,2,positive
that's the best way to eat,2,positive
needs some tlc,0,negative
failure sobs my mom is against buying stuff online,0,negative
took noel to see that he lasted 20min but i loved what we saw i'm so glad you guys have such a special thing love rocks,2,positive
so stick with the storm i may actually get the tourbut i love blackberries any suggestions cuz i want an iphone,0,negative
and i still didn't get anything,0,negative
the tide is high but im holding on im going to be your number one im not the kind of girl who gives up just like that oh nooo oooo im having a blondie moment if you dont recognise the lyrics you maybe too young this one is for the babies,0,negative
secret valentine we the kings,2,positive
i love that is the top trending topic i love mythbusters amp in that same vein i'm going to see star trek tonight,2,positive
no fresno dad is traveling for work so i'm chillin in da 805,0,negative
yeah getting a sty on the inside of your eyelid turns out to be not so much fun ouchie,0,negative
i dont even have that one sef,2,positive
hahahahahahahaha let me laugh all i want now,2,positive
ok oh na like this oh like play like play until e reach everybody na this kan rough play i dey hate ohh some of the technology are made in china but u see all this deadly diseases is only made in china where exactly was the world wronged china,2,positive
but jaru fuck up sha how can you be selling regina mixpresident wife mix all the mixes to catch rich men to spend on you but you no fit catch even if na after rich man nne e fok u ezigbo up biko,2,positive
arrived yesterday so we just missed each other did u have fun,0,negative
just tey dey for this week oh,1,neutral
yeahh i think so i haven't seen you lot in ages so it should be good,2,positive
pikin wey fine like this suppose dey with me oh,0,negative
missing my mom,0,negative
me too so i know how difficult it is sorry friend,2,positive
you fit change the situation so no more punishment,0,negative
i invented a new recipe quotconfetti spaghettiquot its amazing its just me and the sister having a date night,2,positive
see wetin i dey find since,1,neutral
right back at u mr masala,2,positive
this brhoe dey happy say he dey always do raw with every girl my condolences to all the babes sha,2,positive
sake mi shey u nor see wetin dey front smh,2,positive
awesome thanks for letting me know i look forward to getting to know u i am going to follow u now that i know who u are,2,positive
i no i hate it wen ppl do that lol x,0,negative
all the puppies are sleeping mmm quiet for once,2,positive
you're so lucky haha nopes none everyday is 850 till 3,0,negative
me too i can't sleep,0,negative
just as beautiful as you are it's so pitiful what you really are,0,negative
you can definitely submit them thank you very much and i know but i have yet to come visit you,0,negative
haay god im in tears we got to know each other for the first time yesterday and this morning im already your last hope how biko asking me to pay your friends school fees as as what na why are some girls like this,2,positive
back at the millstonebut better,2,positive
na by close eyes fuckboys dem dey close eyesclose noseclose earopen trouser kiss person,2,positive
is up and at'em what a gorgeous day,2,positive
ya i'm goin fur sure haha but i got to work till 5 i don't think a dad wants fruit for fathers day i know i wouldn't lol,0,negative
wetin you go do your best friend,2,positive
on the road 2 lvkarleby looking forward to some lunch,2,positive
evamisseva issa baby girl life my love this babe eh e don tey thanks sis for supporting from the beginning i truly appreciate god bless bless you port harcourt,0,negative
a julia thank you but i aint a troublesome pesin na,0,negative
e be like say you dey read this english with french understanding o are you among the majority you that mentioned her in a general term do you see me saying you dragging anything must every convo on twitter lead to a drag uncle breathe this life na jeje,2,positive
is sad to see his girlfriend go on saturday,0,negative
oh n mine as is fish finger sarnie plz with coke,2,positive
but you dey far away baby you far away how i wan take dey with you,2,positive
video budget na like m i still dey gather am u fit chill small,0,negative
ooohhh ahhhhh pop eyes t a s t y i'm bored wtf nobody talk to me on this twiiter sad,0,negative
lol misunderestimated whats wrong with that word also been thinking bout your harsh truth and i have to say u are right,0,negative
i sew fat tt i should just shoot myself cause i can't fit into any dresses,0,negative
a i'm sorry,0,negative
it will be fun ps i'm not coming to work today i don't feel good,2,positive
i gotta go now i hope everyone has a great day today or evening for those of you across the globe from me lol,0,negative
bout to get dressed 4 the daythinkin a cute dress and sandals2 bad i'm dressing 4 work,0,negative
i miss zack so much these days,0,negative
i sure am,2,positive
nope it's broked,0,negative
i want dairy queen,0,negative
ate the cereal before my sister did got history textbook last minute caught the bus on time william loves me nohomo go mondays,2,positive
sub everywhere oluwa wetin dey occur,1,neutral
feels like i've been up forever oh wait i have,0,negative
it's saturday and the weather is lovelyand i'm going to school,0,negative
sorry i am just excited there now its 12 happy six months,2,positive
fine ankaras like these na people wey get good taste dey rush dem oya select and pay so i go know say you get good fashion sense too beautiful fabrics for beautiful people,0,negative
na wow ooo nigeria number again for illuminati make una suffry na ah,2,positive
that movie was awesome hotrod is that dude this movie was sad too,0,negative
me wey dey ikeja,1,neutral
in 5 years we need a best coverage world take a look here yes here europe is moving,2,positive
friday gimmick in the office but always looking forward for the weekend,0,negative
you canceled the concerts here in brazil it's because the rumors are saying that you canceled and please answer me,0,negative
because it sucks obviously,2,positive
still your old joker kinda selfim gladi kinda miss it,0,negative
right im out of here peeps i hope fixes twitter mobile so i can tweet from the race mtwitter has been down for 4 days,0,negative
you never help to dey gather money den they curse you on top your voluntary analysis wetin dem go con do if you dey help raise money for voting and stuff oga abeg reason am well o,2,positive
na glo give una chance to dey gimme got spoilers like this,2,positive
you dont mean it and make una tell her as una do una own,0,negative
all my friends are in different area codes and time zones,0,negative
better than nodding off when you're quotinquot one lol,2,positive
friends tomorrow we wil rock the club d,2,positive
awake when i should be in bed i thought that maths exam was this morning turns out to be in the afternoon,0,negative
peer pressure wahala you never chop well you dey buy dog now na you and your dog dey share one indomie super pack,2,positive
am finally e don happen first official kiss under the duvet lol n weldone o even if we no fit see unawe can hear una is now a ship lol wellwe are watching you both,0,negative
we didn't find anyone just missed no one showed up at wh they may have went to another 1 or came later,0,negative
right on just bought this new computer will be mig easier to get code done,2,positive
happy birthdaydear more grace to you o boy see uniform biafra army uniform chaii omo na this one be original army uniform no be that onion bag wey nigeria army dey wear choii this one be confirm i done fall inlove,0,negative
lemonade amp ciroc thanks,2,positive
the one wey dey do you sha,1,neutral
make your sock become a tickle puppet your kids will love it don't get them too wound up at bedtime though,2,positive
psg you people should free him na na only pain una like this,2,positive
my broda na so e be when u sing along dem go say u dey form sey make u play soapie im like what happened to some lay back relaxed,0,negative
o demi's new album cover wow it is gorgeous,2,positive
my people as u dey like dey buy market and dey tell people about us as well please na god i take beg una one love lagos nigeria,0,negative
thanx alot fairyu truly deserve tht name as u cn see i dont hv much followerjuss waitin for the list to cross 1000,2,positive
this manhole in my bathroom always gives me the creeps that someone will enter through it small kpram for night i don go check,2,positive
girl i love your color e be like cookie wey don bake,0,negative
ohh great xoxo,0,negative
you kicked my ass,0,negative
second day and bali and soo sick,0,negative
this man sent me a video of him at work omo god dey create see lips now im here thinking all the things i could have done with and to him whilst hes busy working please yall give me work im a painter wall paper installer house finisher,0,negative
on a related note had to use it because i use the beginning of big gay al's quoti'm superquot as my messaging sound it's awesome,2,positive
wishes she could work out which celebrities' twitter accounts are real and which arn't,0,negative
i wont ever correct your spelling if you marry me,2,positive
lol see you in 7 and a half hours,2,positive
people say make we dey select wetin we dey wear am with,1,neutral
you have been giving entrepreneurs students hospital bills what of me wey be doctor i like freebie too we sef na fans,0,negative
to much waffle amp not enough drinking going on he's a less annoying version of numpty amp he's not you which makes me,0,negative
na crack kaka wey be world best i don fuck up,1,neutral
is at work throat is still sore,0,negative
k is big money o plis dear you can bless me with k sef im a sweet boy and i dont do jazz im also in the bearded gang plus i have medical degree take my aza make god bless you,2,positive
i fit run am k pere pls retweet and support my hustle,0,negative
going to bed early morning my bf goes out to eat and meets my family for the 1st timescary,2,positive
is dis hw pple look wen dey go on low cut i look like smigel,1,neutral
i am callin n itsbusy busy busy,0,negative
me sef i want to trend like mbah na should i post my picture na choose anyone that will make me trend like mbah,2,positive
fine boy no dey vex right madam abeg decide already and stop stressing somebodys son,2,positive
you are so amazing i love you you will go to brazil this eyar,2,positive
oh no cooking wild duck casserole just smelt that burning smell that means i haven't been watching,0,negative
im always serious because if i dont get good grades i basically have no backup plan i no get talent like thatto do skit mbanu someone will now ask me why im always in law library fimile,2,positive
it is sad that rpattz barely acknowledges the fans anymore for fear of it getting out of hand what's worse is he's right,0,negative
real one man squad he no send sef sips his ciroc drink snapp his pictures make his video connect with friends and muuuuvee,0,negative
i no drop sisi before i comot but this woman still dey call me dey ask me wetin she go cook good bless yo ma ill insha allah put you in a bigger crib,0,negative
aww dont cry ashley,0,negative
for our table na only me and this fine girl dey drink orijin bitters i dey try cut am eye,0,negative
i guess they must have,0,negative
lol this tweet just made me laughbecause im always broke everyday but yet i still feed myself well and still i no dey off my phone data how i manage to cope everyday i dont know but i know im broke it can only be god,0,negative
weyre sey na global pandemic go school go schooldem no go gree na to dey pluck mango upandown nonsense abeg wetin moenchengladbach dey play abeg make i check my ticket,2,positive
i had a 99 with two flakes feeling decadent,2,positive
barbie is now cleanchopsbangers and steaks are now defrostingcya laterlol,2,positive
on top light wey u dey pay fornepa pple don enslave us finish,2,positive
hi there i agree small children should be running about happy not breaking down in tears,0,negative
i really don't know what it is about this time of day which makes me wanna come on twitter,2,positive
lmao curses wey dem don dey chop since omo if pdp no jazz up it gonna be bloody for them,2,positive
who heard about the 4 yr old who flushed her puppy down the toilet in order to give him a quotbathquot that's sad,0,negative
one man was watching football with her wife and their son for one lounge like that madam say she wan go house baba say make she dey go na omo come see small marriage drama,2,positive
soooooo what's up what's everybody doing what's everybody talking about what's the latest gossip what's the 411,2,positive
omo e be like say we go protest for the whole year be that this people no rate us say na sprinkle of people oh lord,2,positive
ill tired and fed up,0,negative
youre receiving jpegs oluwa wetin dey happen,1,neutral
i hate watching romantic comedies by myself when's my romantic comedy gonna start,0,negative
so we are almost done with how much did you save abi i should mind my business me sef wey dey tweet like this need money die,2,positive
no i don't mind but send me a link too okay i'll write something up on my blog too and link back,2,positive
even me sef dey laff dey doge bottle,0,negative
i dont know what im doing wrong im not selling im broke im sad were almost in december baba god i know youre the god of the th hour please come through,2,positive
i've been working for more than 24 hours now,0,negative
you mean we are aloud to have day's to our selves i'm missing out,0,negative
ugh that stinks some people just don't think they are doing wrong and they don't apologize at all so sad,0,negative
so sad it wasn't me who won the contestthen againi never win contests but congratulations tatiana,0,negative
stop tweeting and focus on diving,2,positive
about to go jogging againwish me luck,0,negative
starbucks dark berry mocha frapp refreshing,2,positive
white knee high stillettoe boots at this hour of the morning she's fuckin' gagging for it as well,2,positive
happy birthday to him from twitterworld he is truly blessed with another wonderful year of life,2,positive
giants game 6th row supporting z,2,positive
enjoying the morning just hanging out with juliet in victoria she doesn't know it yet but i'm taking her to see il divo tonight,2,positive
dietday1 philly light with fracking wholemeal pittafrack well at least watching 'the machinist' will cheer me up on second thoughts,0,negative
see as the pigin dey totori for ear,0,negative
with meat sef but surely one day they will vacate,0,negative
pity it's not for longer,0,negative
walai i go pour salt inside all these generators e be like people wan dey compete for ment inside my compound wetin be all these noise ffs,2,positive
damn i paid like 16 my first slightly stoopid show and now they charge 47 a pop makes me sad,0,negative
we finish diplomathem no allow us continue wetin we start some people sef won serve shey mesef go fit serve like this abi dem no know say age dy count,2,positive
yes peppermint essential oil,2,positive
im scared to take this loan from my sister her terms na die like im your baby brother oh this girl,2,positive
ah ha na houseparty dem dey go them too much abi this person do dem bad thing,2,positive
nothing to eat in my house except filipino food,0,negative
e choke help the ministry abeg,0,negative
e good as na them dey do themselves,0,negative
called my guy in lagos today and was just trolling him small me ive been hearing tankers falling along the road in lagos everywhere causing traffic wetin dey happen him yes oh just like ive been hearing about pastors raping everyone in abuja how e dey happen im hurt,2,positive
e no matter its his intentions that matters,0,negative
this gidan kwano niger state e just de so dry crayfish get hope,2,positive
person wey don carry am tey tey,1,neutral
the rice wey i cook this morning no follow at all be like something dem wan give bingo,2,positive
okay we dey wait patiently,0,negative
who go settle dis bayi oo manager don vex say he knw want them again oooo,2,positive
rema don de vex for boys another saga,2,positive
craving a bubbble bath with pink champagne dont think we have any champs tho,0,negative
it doesn't sound like the perfect saturday night,0,negative
i reckon it should be mammas day everyday i lova my mamma xx we should have a husbands day too i reckon our men rock,2,positive
no mini vacations for the moment starting a week with different many things to do thank you god,0,negative
tito dunt hurd knobduddy,0,negative
what babe lol its not my fault your the one with a hottie butt,2,positive
listening to all time lowfiguring out some drum parts,2,positive
i wan sleep abeg,1,neutral
lol e get any place wey dem no dey impact sir,1,neutral
today's a big day,2,positive
wetin dem dey talk now be say no be live broadcast,1,neutral
quotan existing connection was forcibly closed by the remote hostquot doesn't sound to good,0,negative
thank you god this weekend is starting off amazing got the day off,2,positive
word with jennifer omoko weti bird see chop nai e take dey hammer or nai e go take hammer weti you understand by this proverb,1,neutral
nope went the signing in april though was gonna go the november liverpool date but my dad wouldn't give me the money,0,negative
rain wtf still stoked on my red phone though,2,positive
is sad she can't say even just the tiniest thing,0,negative
wonka peed in the kitchen but he waited to poo outside although i think he was trying to tell me he needed to go out and i didnt realize,0,negative
home again turned out that it's a stomach thing thank god i get to keep my appendix,2,positive
brave little big girl has a staph infection,0,negative
i miss you guys too like crazy after prom weekend you'll be seeing a lot of me thoughlt3,0,negative
2 days no internet 2 cor 57,0,negative
to get over her i havent seen my baby in that kind of situation my boy went offline and wasnt picking his calls wow na so e dey pain he said his chest is paining him the girl did him strong thing to the extent that i had to ban her name from this house that time,0,negative
jason is teaching me how to drive his car wish me luck,2,positive
congrats fine people god bless your home na dis kind pictures dem dey make me wan do fast go marry,0,negative
na the work wey them dey do,1,neutral
just back from all time low sickas got a hug from jack and am still hard of hearing,2,positive
you country nor dey there too zimbabwe una nor even dey talk self talkless of speak english,2,positive
click 'register' and you're away don't forget to introduce yourself,2,positive
my preshy little girl,2,positive
lol sorry be like na computer true true wey ogadi and ovie dey play and somebody just kee me,2,positive
i dey the church like this ohman of god don put hand for my head turn me aroundi don fall use back break plastic chair my back oh,2,positive
online i want to make mama proud offline am leaving this house na only me una dey send message up and down,2,positive
all of una dey abagana gini na eme,1,neutral
shiiit that sucks,0,negative
working today closing 2 11 missing out on ming's birthday dinnerparty,0,negative
office printer does not work for us canon mf4370dn improperly installed driver error,0,negative
oh pity but there are some great brush cleaner who could maybe do the trick,0,negative
cool my weekend begins in 2 hours 12 hard with the sun outside,0,negative
no i don't think so,2,positive
i want to do so many things in this lifeee but na money dey delay am,2,positive
na which kain problem be this one na i dodged a bullet as an undergrad this one wan start all that male stalking again menascum,2,positive
set up for a new mail account ya voy por la septima s jajajajajajajaja es emocionante new mail accountnew project,2,positive
oh wait i mean,0,negative
lmao not chisom i been dey look when dem dey drag you,2,positive
my dad bought a whole me aso odun dis yr man said im ur father and u re still my child keh dads shud continue being responsible for dia kids for as long as they can e touch me the way i will rock it on xmas ehn e go be guinea k starch k ill oppress u ppl,0,negative
gone are those days when we used to have rainy and dry seasons in nigeria now we have the e be like say rain wan fall season and the this heat wan kill person season,2,positive
god fit don bless you wella sir as he always does u know say na small thing,0,negative
my boo my babies my parents patti doll kimmy all my family all my friends nkotb amp their posse,2,positive
abeg whr them dey sell better nkwobi for ibadan im craving,0,negative
very blunt and straight forward,2,positive
buh some don dey drive for ages and nothing changed,1,neutral
this car will fit me sha,0,negative
lol omg yes thats an unforgivable offensei'm sorry i sprayed the bugs,0,negative
im so excited 15 days your albums out i see you live in london my first jb concert loveyouxxxxx,2,positive
woih tade mood tade mood na onlineeee,0,negative
if the penguins play like that against detroit expect a 4game series go red wings,2,positive
now they saying i can't have my steam fish and sake's is closed so i can't have sushi i def want seafood,0,negative
coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me,2,positive
at work these new people need alot of training,0,negative
and dem for don dey hail am from house say the dressing make sense die,2,positive
is watching the mtv awards 2009 lol eminem,2,positive
whenever sensitive topics are discussed here some people tend to just be stupid just to gain followers god punish all of una wey dey do that,2,positive
just enjoy looking at tweety bird and not to twitthehehehe,2,positive
doobie mi primo is spending the night just lovely,0,negative
hello guys i love them very muchohh im from argentina bye,2,positive
can u atleast stop this shitty comparisons its not funny anymore most ona wey dey dey behind tweets like like never even knw next step to take in life ona go dey dia sti dey collect money for food for house,2,positive
congrats on making orchestra that's really awesome,2,positive
taking pepto like the boss,0,negative
i no know who dey braid your hair before sha wey make all your front hair chop come try our stylist,2,positive
on lunchdj should come eat with me,2,positive
baba god you sabi as e be for my heart oo abeg bless your boy,0,negative
pictures from the sats are up on bebo now,2,positive
the guy wey dey flog am no try this na joke compared to wetin him do the woman na,2,positive
please get well soon,0,negative
